,Celula,Area,N,Deformación,Tracción,Suero,Linea
0,1,0.680137160994134,361.0,340.41925732039994,64101.68860502519,CS,MCF10
1,4,0.8330114160715926,405.0,472.6084582643421,85891.40629405445,CS,MCF10
2,5,1.5223455738505058,469.0,558.2664917175947,100929.05094360639,CS,MCF10
3,6,2.3379714909173352,596.0,1393.5087537428196,235417.67160463386,CS,MCF10
4,7,0.5532861825547518,311.0,420.40257194051924,74413.12441942852,CS,MCF10
5,8,2.9553579019387963,637.0,1041.061035324442,183683.6741829606,CS,MCF10
6,9,3.097053143812574,709.0,1582.5529253182335,313434.1772507522,CS,MCF10
7,11,2.550514353728002,716.0,631.921939394148,124209.63159206281,CS,MCF10
8,12,2.9553579019387963,696.0,1350.8109177344954,214293.82601218307,CS,MCF10
9,13,0.6386420856548876,391.0,391.9259223927752,67718.45108375943,CS,MCF10
10,20,2.7124517730123197,581.0,1207.0708882037475,210945.1610392044,CS,MCF10
11,22,6.29756630550124,941.0,5719.284658895123,1038876.5227826874,CS,MCF10
12,25,3.5221388694339075,698.0,3587.167498601252,639709.2292480359,CS,MCF10
13,14,2.368334757033145,592.0,1121.0753927129053,221935.9721356191,SS,MCF10
14,15,0.7708221157933519,419.0,595.8309701324313,93814.10053462876,SS,MCF10
15,17,2.2873660473909863,679.0,820.2245905790289,178102.1200589945,SS,MCF10
16,18,2.084944273285589,496.0,573.4766215805128,114336.75566602778,SS,MCF10
17,26,4.281220522329146,934.0,1306.67969535505,248651.19533447258,SS,MCF10
18,27,3.0666898776967644,668.0,1490.8652232811605,295747.5334332044,SS,MCF10
19,28,1.8622803217696524,504.0,399.8622774025723,101209.1696599015,SS,MCF10
20,29,2.7124517730123197,582.0,1016.928802316557,212218.63846749027,SS,MCF10
21,"(11, 3)",0.6995696513082522,418.0,688.9284506977165,96856.69607896439,CS,MCF7
22,"(11, 4)",1.2177693930180686,504.0,1396.5474761147088,200374.98119979384,CS,MCF7
23,"(10, 1)",0.7708221157933519,422.0,235.021067725872,43555.72001022166,CS,MCF7
24,"(10, 2)",1.0687869672764965,465.0,573.7116751408475,80131.058773907,CS,MCF7
25,"(10, 5)",1.4805228932502172,503.0,1085.3116720896971,158207.12203562568,CS,MCF7
26,"(9, 1)",0.38235223997686096,341.0,273.64397351499844,38052.05415928019,CS,MCF7
27,"(1, 1)",1.3550548514493514,503.0,848.8962411129053,144509.179530821,CS,MCF7
28,"(8, 2)",0.35541820419054615,325.0,106.34307607508626,25577.71808899572,SS,MCF7
29,"(8, 3)",0.5664477629286829,392.0,242.7914087390316,39415.37998036192,SS,MCF7
30,"(7, 1)",0.8161645931929609,558.0,42.46670463242228,14993.692787726995,SS,MCF7
31,"(7, 2)",0.9651470189345331,492.0,427.47831074705755,58909.278296367076,SS,MCF7
32,"(6, 2)",2.550514353728002,699.0,243.7121693121693,56867.89656529158,SS,MCF7
33,"(6, 3)",0.3688574550365012,343.0,113.46387123257934,23014.676953980346,SS,MCF7
34,"(6, 4)",0.4768157345593796,408.0,158.41928184313812,26990.984769845883,SS,MCF7
35,"(5, 4)",0.5038053044400992,447.0,105.17478263560444,25844.98126795567,SS,MCF7
36,"(4, 1)",0.6088846965090343,477.0,224.36071481206784,40619.185795543155,SS,MCF7
37,"(3, 3)",0.7826975265408684,473.0,153.76503212942032,32569.170768698372,SS,MCF7
